1;2;3;4;5;6;7;8;9;;;;;;;
;;Sellantes y otros;Espuma de silicona, ? =750 kg/m³;Espuma de silicona;750;0,12;1000;10000;10000;;;;;;
;;Sellantes y otros;uretano/poliuretano (quiebre térmico), ? =1300 kg/m³;uretano/poliuretano (quiebre térmico);1300;0,21;1800;60;60;;;;;;
;;Sellantes y otros;PVC, flexible, con 40% de suavisante, ? =1200 kg/m³;PVC, flexible, con 40% de suavisante;1200;0,14;1000;100000;100000;;;;;;
;;Sellantes y otros;espuma elastomérica, flexible, ? =60-80 kg/m³;espuma elastomérica, flexible;60-80;0,05;1500;10000;10000;;;;;;
;;Sellantes y otros;espuma de poliuretano (PU), ? =70 kg/m³;espuma de poliuretano (PU);70;0,05;1500;60;60;;;;;;
;;Sellantes y otros;Espuma de polietileno, ? =70 kg/m³;Espuma de polietileno;70;0,05;2300;100;100;;;;;;
;;;---Yeso---;;;;;;;;;;;;
;;Yeso;Yeso, ? =600 kg/m³;Yeso;600;0,18;1000;10;4;;;;;;
;;Yeso;Yeso, ? =900 kg/m³;Yeso;900;0,40;1000;10;4;;;;;;
;;Yeso;Yeso, ? =1200 kg/m³;Yeso;1200;0,57;1000;10;4;;;;;;
;;Yeso;Yeso, ? =1500 kg/m³;Yeso;1500;0,80;1000;10;4;;;;;;
;;Yeso;Yeso cartón, ? =700 kg/m³;Yeso cartón;700;0,80;1000;10;4;;;;;;
;;Yeso;Yeso, ? =900 kg/m³;Yeso;900;1,00;1000;10;4;;;;;;
;;;---Enlucidos---;;;;;;;;;;;;
;;Enlucidos;Enlucido de yeso aislante, ? =600 kg/m³;Enlucido de yeso aislante;600;0,18;1000;10;6;;;;;;
;;Enlucidos;Enlucido de yeso, ? =1000 kg/m³;Enlucido de yeso;1000;0,40;1000;10;6;;;;;;
;;Enlucidos;Enlucido de yeso, ? =1300 kg/m³;Enlucido de yeso;1300;0,57;1000;10;6;;;;;;
;;Enlucidos;Yeso, arena, ? =1600 kg/m³;Yeso, arena;1600;0,80;1000;10;6;;;;;;
;;Enlucidos;Cal, arena, ? =1600 kg/m³;Cal, arena;1600;0,80;1000;10;6;;;;;;
;;Enlucidos;Cemento, arena, ? =1800 kg/m³;Cemento, arena;1800;1,00;1000;10;6;;;;;;
;;;---Suelos---;;;;;;;;;;;;
;;suelos;Arcilla o sedimentos, ? =1200-1800 kg/m³;Arcilla o sedimentos;1200-1800;1,50;1670-2500;50;50;;;;;;
;;suelos;Arena y grava, ? =1700-2200 kg/m³;Arena y grava;1700-2200;2,00;910-1180;50;50;;;;;;
;;;---Rocas---;;;;;;;;;;;;
;;rocas;Natural, roca cristalina, ? =2800 kg/m³;Natural, roca cristalina;2800;3,50;1000;10000;10000;;;;;;
;;rocas;Natural, roca sedimentaria, ? =2600 kg/m³;Natural, roca sedimentaria;2600;2,30;1000;250;200;;;;;;
;;rocas;Natural, roca sedimentaria, liviana, ? =1500 kg/m³;Natural, roca sedimentaria, liviana;1500;0,85;1000;30;20;;;;;;
;;rocas;Natural, porosa, por ej. lava, ? =1600 kg/m³;Natural, porosa, por ej. lava;1600;0,55;1000;20;15;;;;;;
;;rocas;Basalto, ? =2700-3000 kg/m³;Basalto;2700-3000;3,50;1000;10000;10000;;;;;;
;;rocas;Gneis, ? =2400-2700 kg/m³;Gneis;2400-2700;3,50;1000;10000;10000;;;;;;
;;rocas;Granito, ? =2500-2700 kg/m³;Granito;2500-2700;2,80;1000;10000;10000;;;;;;
;;rocas;Mármol, ? =2800 kg/m³;Mármol;2800;3,50;1000;10000;10000;;;;;;
;;rocas;Pizarra, ? =2000-2800 kg/m³;Pizarra;2000-2800;2,20;1000;1000;800;;;;;;
;;rocas;Piedra caliza, extra suave, ? =1600 kg/m³;Piedra caliza, extra suave;1600;0,85;1000;30;20;;;;;;
;;rocas;Piedra caliza, suave, ? =1800 kg/m³;Piedra caliza, suave;1800;1,10;1000;40;25;;;;;;
;;rocas;Piedra caliza, semi dura, ? =2000 kg/m³;Piedra caliza, semi dura;2000;1,40;1000;50;40;;;;;;
;;rocas;Piedra caliza, dura, ? =2200 kg/m³;Piedra caliza, dura;2200;1,70;1000;200;150;;;;;;
;;rocas;Piedra caliza, extra dura, ? =2600 kg/m³;Piedra caliza, extra dura;2600;2,30;1000;250;200;;;;;;
;;rocas;Roca arenosa (sílice), ? =2600 kg/m³;Roca arenosa (sílice);2600;2,30;1000;40;30;;;;;;
;;rocas;Piedra pómez natural, ? =400 kg/m³;Piedra pómez natural;400;0,12;1000;8;6;;;;;;
;;rocas;Piedra artificial, ? =1750 kg/m³;Piedra artificial;1750;1,30;1000;50;40;;;;;;
;;;---Tejas---;;;;;;;;;;;;
;;Tejas;Arcilla, ? =2000 kg/m³;Arcilla;2000;1,00;800;40;30;;;;;;
;;Tejas;concreto, ? =2100 kg/m³;concreto;2100;1,50;100;100;60;;;;;;
;;;---Baldosas---;;;;;;;;;;;;
;;Baldosas;cerámica/porcelana, ? =2300 kg/m³;cerámica/porcelana;2300;1,30;840;inf;inf;;;;;;
;;Baldosas;Plástica, ? =1000 kg/m³;Plástica;1000;0,20;1000;10000;10000;;;;;;
;;;---Madera---;;;;;;;;;;;;
